All the intelligent work was done by Cavor.	Cavor did All the intelligent work . 
She was subtly perturbed by it, and more than once, though she knew not why, it disrupted her train of thought with its delicious intrusion and compelled her to grope for the remainder of ideas partly uttered.	it subtly perturbed her , and more than once , though she knew not why , it disrupted her train of thought with its delicious intrusion and compelled her to grope for the remainder of ideas partly uttered . 
And he was ennobled, as well, by the loftiness of thought and beauty he found in the books.	And the loftiness of thought and beauty he found in the books ennobled , as well , him . 
Then, too, his bliss was heightened by the knowledge that her mind was comprehending what she read and was quivering with appreciation of the beauty of the written thought.	Then , too , the knowledge that her mind was comprehending what she read and was quivering with appreciation of the beauty of the written thought heightened his bliss . 
Likewise she was stirred by the common impulse to tame the wild thing.	Likewise the common impulse stirred her to tame the wild thing . 
Had she been fourteen instead of twenty-four, she might have been changed by them; but she was twenty-four, conservative by nature and upbringing, and already crystallized into the cranny of life where she had been born and formed.	Had she been fourteen instead of twenty - four , they might have changed her ; but she was twenty - four , conservative by nature and upbringing , and already crystallized into the cranny of life her had been born and where formed . 
He was tortured by the exquisite beauty of the world, and wished that Ruth were there to share it with him.	the exquisite beauty of the world tortured him , and wished that Ruth were there to share it with he . 
In the meantime he was occupied by another idea, which he prided himself upon as being a particularly sane, careful, and modest idea.	In the meantime another idea , which he prided himself upon as being a particularly sane , careful , and modest idea occupied him . 
In addition, his cloth cap had been replaced by a soft hat, which she commanded him to put on and then complimented him on his appearance.	In addition , a soft hat , she commanded him which to put on and then complimented him on his appearance had replaced his cloth cap . 
 Martin was not deeply affected by his failure, though he was surprised at Ruth’s shocked expression when he told her Professor Hilton’s advice.	  his failure not deeply affected Martin , though he was surprised at Ruth ’s shocked expression when he told her Professor Hilton ’s advice . 
He was stirred profoundly by the passing glimpse at the secret, and he was again caught up in the vision of sunlit spaces and starry voids—until it came to him that it was very quiet, and he saw Ruth regarding him with an amused expression and a smile in her eyes.	the passing glimpse at the secret stirred profoundly him , and him was again caught up in the vision of sunlit spaces and starry voids — until it came to he that it was very quiet , and he saw Ruth regarding him with an amused expression and a smile in her eyes . 
